#o/p  it       t_pb[ms]       level   shock +x[km]   shock -x[km]  shock +y[km]   shock -y[km]  shock +z[km]   shock -z[km]   max x[km]   max y[km]    max z[km]   max r[km]
1    29000     0.158          6         10.339         14.77         10.339          14.77         10.339         14.77       14.77         14.77         14.77         16.579
1    30000     0.65          6         23.632         28.063         23.632          28.063         22.155         26.586       28.063         28.063         26.586         29.466
1    31000     1.143          6         35.448         39.879         35.448          39.879         32.494         36.925       39.879         39.879         36.925         41.012
2    32000     1.635          6         42.833         47.264         42.833          47.264         44.31         48.741       47.264         47.264         48.741         50.175
2    33000     2.128          6         48.741         53.172         48.741          53.172         54.649         59.08       53.172         53.172         59.08         59.741
3    34000     2.621          6         54.649         59.08         54.649          59.08         60.557         64.988       59.08         59.08         64.988         65.623
3    35000     3.113          6         59.08         63.511         59.08          63.511         62.034         66.465       63.511         63.511         66.465         67.459
3    36000     3.606          6         62.034         66.465         62.034          66.465         63.511         67.942       66.465         66.465         67.942         69.482
4    37000     4.099          6         63.511         67.942         63.511          67.942         67.942         72.373       67.942         67.942         72.373         72.988
4    38000     4.591          6         63.511         67.942         63.511          67.942         67.942         72.373       67.942         67.942         72.373         73.643
5    39000     5.084          6         64.988         69.419         64.988          69.419         66.465         70.896       69.419         69.419         70.896         71.768
5    40000     5.576          6         64.988         69.419         64.988          69.419         67.942         72.373       69.419         69.419         72.373         73.569
6    41000     6.069          6         63.511         67.942         63.511          67.942         67.942         72.373       67.942         67.942         72.373         73.153
6    42000     6.562          6         64.988         69.419         64.988          69.419         70.896         75.327       69.419         69.419         75.327         75.818
6    43000     7.054          6         63.511         67.942         63.511          67.942         73.85         78.281       67.942         67.942         78.281         78.85
7    44000     7.547          6         64.988         69.419         64.988          69.419         73.85         78.281       69.419         69.419         78.281         79.731
7    45000     8.039          6         67.942         72.373         67.942          73.85         76.804         81.235       72.373         73.85         81.235         83.212
8    46000     8.532          6         73.85         78.281         73.85          79.758         81.235         85.666       78.281         79.758         85.666         86.49
8    47000     9.025          6         81.235         84.189         81.235          85.666         82.712         88.62       84.189         85.666         88.62         89.477
8    48000     9.517          6         88.62         91.574         87.143          91.574         85.666         91.574       91.574         91.574         91.574         93.004
9    49000     10.01          6         94.528         97.482         93.051          97.482         87.143         93.051       97.482         97.482         93.051         98.705
9    50000     10.502          6         98.959         101.913         98.959          103.39         90.097         96.005       101.913         103.39         96.005         104.732
10    51000     10.995          6         103.39         106.344         101.913          106.344         93.051         98.959       106.344         106.344         98.959         109.338
10    52000     11.488          6         104.867         109.298         104.867          109.298         94.528         98.959       109.298         109.298         98.959         112.349
11    53000     11.98          6         106.344         109.298         106.344          110.775         93.051         97.482       109.298         110.775         97.482         113.93
